Nom,Classe_Sismique,longitude,latitude,PGA,Etat de Dommage,St_Dev_DR,Inspection_Priority,Priority_Rank,Replacement_cost,Economic_Loss,MRD_pour,F_PGA
Pont 1,C,-71.32486087,46.85733286,0.093662805,Aucun,0.021096036,Aucun,12,437241.28,1210.781652,0.276913848,1
Pont 2,D,-71.31858802,46.80613447,0.086712837,Aucun,0.018321584,Aucun,16,2080225.89,4744.614145,0.228081679,1.29
Pont 3,C,-71.31995348,46.84596973,0.085762281,Aucun,0.017952846,Aucun,19,1011866.79,2244.087081,0.221776928,1
Pont 4,D,-71.19969953,46.851707,0.05081723,Aucun,0.006559811,Aucun,38,3823564.73,2029.571633,0.053080614,1.29
Pont 5,A,-71.33625426,46.91115607,0.075596053,Aucun,0.014184158,Aucun,26,596988.97,955.2257017,0.160007261,0.62
Pont 6,C,-71.37129532,46.91051689,0.156389433,Aucun,0.050671094,Aucun,3,1039802.93,9671.753346,0.930152538,1
Pont 7,C,-71.36414857,46.90447158,0.146432253,Aucun,0.045579954,Aucun,5,833820.34,6682.85931,0.801474729,1
Pont 8,C,-71.31730415,46.81133458,0.069006565,Aucun,0.011925916,Aucun,28,1804159.92,2264.651368,0.125523871,1
Pont 9,C,-71.21015281,46.83096,0.03894765,Aucun,0.003839682,Aucun,48,2564780.11,603.528853,0.023531407,1
Pont 10,D,-71.29570488,46.81190961,0.078581702,Aucun,0.015256573,Aucun,22,898161.35,1590.391483,0.177071913,1.29
Pont 11,D,-71.29578217,46.81181911,0.078575323,Aucun,0.015254251,Aucun,23,898161.35,1590.05544,0.177034498,1.29
Pont 12,D,-71.3426604,46.74759963,0.063310293,Aucun,0.010102024,Aucun,30,1371884.05,1361.579073,0.099248845,1.29
Pont 13,C,-71.35246718,46.75780101,0.055874717,Aucun,0.007914356,Aucun,36,1154356.77,806.6790483,0.069881259,1
Pont 14,A,-71.31633835,46.93011098,0.067103174,Aucun,0.011302789,Aucun,29,519665.44,604.7831281,0.116379324,0.62
Pont 15,C,-71.34624129,46.80076039,0.075596826,Aucun,0.014184432,Aucun,25,660019.74,1056.107895,0.160011562,1
Pont 16,B,-71.3628106,46.85951809,0.085848589,Aucun,0.017986216,Aucun,18,1046471.52,2326.78399,0.222345658,0.71
Pont 17,B,-71.35568271,46.85582012,0.080464883,Aucun,0.015948034,Aucun,21,985170.73,1855.038969,0.188296192,0.71
Pont 18,B,-71.35663241,46.77199337,0.045425413,Aucun,0.005241958,Aucun,42,1020691.48,387.5064148,0.037965088,0.71
Pont 19,B,-71.36067839,46.77445504,0.047242452,Aucun,0.005671132,Aucun,40,1207026.79,515.879962,0.042739728,0.71
Pont 20,B,-71.33072328,46.77735735,0.041617532,Aucun,0.004393125,Aucun,45,173438.27,50.29123103,0.028996617,0.71
Pont 21,B,-71.35390731,46.80088338,0.055974351,Aucun,0.007942154,Aucun,35,361023.86,253.5758176,0.070237966,0.71
Pont 22,D,-71.33951826,46.79977532,0.093366629,Aucun,0.020975082,Aucun,13,843354.37,2316.988885,0.274734912,1.29
Pont 23,B,-71.35694419,46.80237208,0.057508429,Aucun,0.008375465,Aucun,31,495186.72,375.629628,0.075856159,0.71
Pont 24,B,-71.3896975,46.81269297,0.073670065,Aucun,0.013508334,Aucun,27,437677.6,654.2202763,0.149475385,0.71
Pont 25,C,-71.35629437,46.91406665,0.141563397,Aucun,0.043130869,Aucun,7,397668.59,2950.379701,0.74191922,1
