Nom,Classe_Sismique,longitude,latitude,PGA,Etat de Dommage,St_Dev_DR,Inspection_Priority,Priority_Rank,Replacement_cost,Economic_Loss,MRD_pour,F_PGA
Pont 1,C,-71.32486087,46.85733286,0.050547054,Aucun,0.006490624,Aucun,11,437241.28,228.4799836,0.052254898,1
Pont 2,D,-71.31858802,46.80613447,0.053174404,Aucun,0.007177218,Aucun,10,2080225.89,1260.468819,0.060592882,1.29
Pont 3,C,-71.31995348,46.84596973,0.047881219,Aucun,0.005825644,Aucun,15,1011866.79,450.2303281,0.04449502,1
Pont 4,D,-71.19969953,46.851707,0.038283704,Aucun,0.003707483,Aucun,22,3823564.73,851.7248298,0.022275674,1.29
Pont 5,A,-71.33625426,46.91115607,0.036856332,Aucun,0.003430677,Aucun,24,596988.97,117.6863291,0.019713317,0.62
Pont 6,C,-71.37129532,46.91051689,0.069276383,Aucun,0.012015333,Aucun,3,1039802.93,1318.987834,0.12684979,1
Pont 7,C,-71.36414857,46.90447158,0.066530174,Aucun,0.011117857,Aucun,5,833820.34,948.0382022,0.113698138,1
Pont 8,C,-71.31730415,46.81133458,0.041890944,Aucun,0.004451759,Aucun,19,1804159.92,533.9276768,0.029594254,1
Pont 9,C,-71.21015281,46.83096,0.029470459,Aucun,0.00216272,Aucun,31,2564780.11,239.2734143,0.009329198,1
Pont 10,D,-71.29570488,46.81190961,0.050050754,Aucun,0.006364384,Aucun,12,898161.35,455.8795282,0.050756975,1.29
Pont 11,D,-71.29578217,46.81181911,0.050048256,Aucun,0.006363751,Aucun,13,898161.35,455.8123645,0.050749497,1.29
Pont 12,D,-71.3426604,46.74759963,0.043823711,Aucun,0.004876497,Aucun,17,1371884.05,466.7511498,0.034022638,1.29
Pont 13,C,-71.35246718,46.75780101,0.036792063,Aucun,0.003418453,Aucun,25,1154356.77,226.2806867,0.019602318,1
Pont 14,A,-71.31633835,46.93011098,0.034252331,Aucun,0.002951969,Aucun,26,519665.44,80.61499816,0.015512865,0.62
Pont 15,C,-71.34624129,46.80076039,0.044307384,Aucun,0.004985577,Aucun,16,660019.74,232.2410837,0.035186991,1
Pont 16,B,-71.3628106,46.85951809,0.041989941,Aucun,0.004473078,Aucun,18,1046471.52,311.9782849,0.029812401,0.71
Pont 17,B,-71.35568271,46.85582012,0.040350753,Aucun,0.004126193,Aucun,20,985170.73,259.2972938,0.026320036,0.71
Pont 18,B,-71.35663241,46.77199337,0.028391013,Aucun,0.002000867,Aucun,35,1020691.48,83.63397134,0.008193854,0.71
Pont 19,B,-71.36067839,46.77445504,0.029083984,Aucun,0.002104076,Aucun,32,1207026.79,107.5712189,0.008912082,0.71
Pont 20,B,-71.33072328,46.77735735,0.026903135,Aucun,0.00178772,Aucun,36,173438.27,11.75526207,0.006777779,0.71
Pont 21,B,-71.35390731,46.80088338,0.032280581,Aucun,0.00261233,Aucun,29,361023.86,45.95487325,0.01272904,0.71
Pont 22,D,-71.33951826,46.79977532,0.055647321,Aucun,0.007851071,Aucun,8,843354.37,582.5123184,0.069070884,1.29
Pont 23,B,-71.35694419,46.80237208,0.032821705,Aucun,0.002703566,Aucun,27,495186.72,66.65050525,0.013459671,0.71
Pont 24,B,-71.3896975,46.81269297,0.03822026,Aucun,0.003694964,Aucun,23,437677.6,96.97978429,0.022157813,0.71
Pont 25,C,-71.35629437,46.91406665,0.065161216,Aucun,0.010681084,Aucun,6,397668.59,427.2028512,0.107426853,1
Pont 26,D,-71.33520093,46.80015776,0.054934933,Aucun,0.007654244,Aucun,9,1033395.87,687.8874653,0.066565726,1.29
Pont 27,B,-71.27962417,46.88423403,0.031644713,Aucun,0.002507036,Aucun,30,373479.47,44.45249329,0.011902259,0.71
Pont 28,C,-71.39597456,46.86476007,0.068383411,Aucun,0.011720427,Aucun,4,316308.44,387.445297,0.122489712,1
Pont 29,C,-71.37750887,46.86893348,0.06456083,Aucun,0.010491795,Aucun,7,346486.15,362.8964333,0.104736202,1
Pont 30,D,-71.38463683,46.86844679,0.085510944,Aucun,0.017855795,Aucun,1,468023.71,1030.237072,0.220124974,1.29
Pont 31,A,-71.34779632,46.92214557,0.039222813,Aucun,0.003895108,Aucun,21,298775.16,71.89667485,0.024063806,0.62
Pont 32,D,-71.38033558,46.86852494,0.084105532,Aucun,0.017316602,Aucun,2,1025062.36,2162.922783,0.21100402,1.29
Pont 33,D,-71.29393659,46.81195788,0.049732639,Aucun,0.006284051,Aucun,14,976559.1,486.4210399,0.049809688,1.29
