Nom,Classe_Sismique,longitude,latitude,PGA,Etat de Dommage,St_Dev_DR,Inspection_Priority,Priority_Rank,Replacement_cost,Economic_Loss,MRD_pour,F_PGA
Pont 1,C,-71.32486087,46.85733286,0.071695053,Aucun,0.012828694,Aucun,10,437241.28,608.044518,0.139063841,1
Pont 2,D,-71.31858802,46.80613447,0.07138724,Aucun,0.012724012,Aucun,11,2080225.89,2859.824109,0.137476614,1.29
Pont 3,C,-71.31995348,46.84596973,0.066929321,Aucun,0.011246548,Aucun,13,1011866.79,1169.336761,0.115562322,1
Pont 4,D,-71.19969953,46.851707,0.047040686,Aucun,0.005622718,Aucun,32,3823564.73,1613.299977,0.04219361,1.29
Pont 5,A,-71.33625426,46.91115607,0.054611824,Aucun,0.00756569,Aucun,27,596988.97,390.707035,0.065446274,0.62
Pont 6,C,-71.37129532,46.91051689,0.106972894,Aucun,0.026759128,Aucun,3,1039802.93,3990.4991,0.383774558,1
Pont 7,C,-71.36414857,46.90447158,0.10161845,Aucun,0.024429519,Aucun,5,833820.34,2824.058795,0.338689123,1
Pont 8,C,-71.31730415,46.81133458,0.056484168,Aucun,0.008085052,Aucun,23,1804159.92,1300.416736,0.072078795,1
Pont 9,C,-71.21015281,46.83096,0.036143312,Aucun,0.00329621,Aucun,40,2564780.11,474.5559756,0.018502794,1
Pont 10,D,-71.29570488,46.81190961,0.066106204,Aucun,0.010981823,Aucun,14,898161.35,1003.566465,0.111735655,1.29
Pont 11,D,-71.29578217,46.81181911,0.066102015,Aucun,0.010980482,Aucun,15,898161.35,1003.393137,0.111716357,1.29
Pont 12,D,-71.3426604,46.74759963,0.055845568,Aucun,0.007906231,Aucun,25,1371884.05,957.2607927,0.069777092,1.29
Pont 13,C,-71.35246718,46.75780101,0.047903654,Aucun,0.005831105,Aucun,31,1154356.77,514.3513433,0.044557398,1
Pont 14,A,-71.31633835,46.93011098,0.049760858,Aucun,0.006291159,Aucun,30,519665.44,259.278302,0.049893313,0.62
Pont 15,C,-71.34624129,46.80076039,0.060652298,Aucun,0.009294095,Aucun,20,660019.74,581.5458524,0.088110373,1
Pont 16,B,-71.3628106,46.85951809,0.062132361,Aucun,0.009740502,Aucun,19,1046471.52,986.0337165,0.094224611,0.71
Pont 17,B,-71.35568271,46.85582012,0.059069481,Aucun,0.008826512,Aucun,22,985170.73,806.0302655,0.081816303,0.71
Pont 18,B,-71.35663241,46.77199337,0.037804519,Aucun,0.003613427,Aucun,37,1020691.48,218.3733987,0.021394653,0.71
Pont 19,B,-71.36067839,46.77445504,0.038979786,Aucun,0.003846136,Aucun,36,1207026.79,284.7765321,0.023593224,0.71
Pont 20,B,-71.33072328,46.77735735,0.035307318,Aucun,0.003141799,Aucun,41,173438.27,29.73033521,0.017141739,0.71
Pont 21,B,-71.35390731,46.80088338,0.044497237,Aucun,0.005028697,Aucun,34,361023.86,128.7057351,0.035650202,0.71
Pont 22,D,-71.33951826,46.79977532,0.075628085,Aucun,0.014195505,Aucun,8,843354.37,1350.932121,0.160185584,1.29
Pont 23,B,-71.35694419,46.80237208,0.045446322,Aucun,0.005246809,Aucun,33,495186.72,188.2610769,0.0380182,0.71
Pont 24,B,-71.3896975,46.81269297,0.05513859,Aucun,0.00771029,Aucun,26,437677.6,294.4550509,0.067276701,0.71
Pont 25,C,-71.35629437,46.91406665,0.098971331,Aucun,0.023302733,Aucun,6,397668.59,1262.362014,0.317440715,1
Pont 26,D,-71.33520093,46.80015776,0.074401084,Aucun,0.013763346,Aucun,9,1033395.87,1585.526902,0.153428802,1.29
Pont 27,B,-71.27962417,46.88423403,0.043387448,Aucun,0.004779062,Aucun,35,373479.47,123.2174513,0.03299176,0.71
Pont 28,C,-71.39597456,46.86476007,0.105225421,Aucun,0.025991645,Aucun,4,316308.44,1166.391881,0.368751425,1
Pont 29,C,-71.37750887,46.86893348,0.097815082,Aucun,0.022815964,Aucun,7,346486.15,1068.481095,0.308376278,1
Pont 30,D,-71.38463683,46.86844679,0.130481206,Aucun,0.037672047,Aucun,1,468023.71,2876.931653,0.614697844,1.29
Pont 31,A,-71.34779632,46.92214557,0.059101388,Aucun,0.008835837,Aucun,21,298775.16,244.8184065,0.081940683,0.62
Pont 32,D,-71.38033558,46.86852494,0.127764737,Aucun,0.036361269,Aucun,2,1025062.36,5999.632447,0.585294386,1.29
Pont 33,D,-71.29393659,46.81195788,0.065573257,Aucun,0.010811794,Aucun,16,976559.1,1067.325474,0.109294509,1.29
Pont 34,E,-71.25414648,46.82643229,0.080616683,Aucun,0.000800926,Aucun,69,183861.54,1.706632155,0.000928216,1.81
Pont 35,C,-71.31153676,46.82950337,0.059892088,Aucun,0.000257821,Aucun,85,916208.78,1.156210199,0.000126195,1
Pont 36,C,-71.14814245,46.89240394,0.029869282,Aucun,9.87E-05,Aucun,95,1724673.92,0.126761858,7.35E-06,1
Pont 37,A,-71.34046738,46.92956753,0.057045663,Aucun,0.005134431,Aucun,49,266195.12,23.99430484,0.009013803,0.62
Pont 38,D,-71.29007057,46.80655979,0.062769831,Aucun,0.006513329,Aucun,43,292565.85,40.6822531,0.013905332,1.29
Pont 39,D,-71.23967009,46.8479651,0.057547826,Aucun,0.005248999,Aucun,48,411444.65,38.60889344,0.009383739,1.29
Pont 40,B,-71.3640131,46.82246193,0.052348362,Aucun,0.004123758,Aucun,50,524282.55,31.69123382,0.006044686,0.71
Pont 41,A,-71.3167073,46.90513474,0.048492375,Aucun,0.003377937,Aucun,52,319395.87,13.41885518,0.004201324,0.62
Pont 42,C,-71.39293208,46.84106043,0.092402316,Aucun,0.015965773,Aucun,24,433962.48,309.3321227,0.071280845,1
Pont 43,B,-71.33098162,46.7549902,0.03085937,Aucun,0.000957072,Aucun,73,1205628.52,5.059117312,0.000419625,0.71
Pont 44,B,-71.35225141,46.79225914,0.042042828,Aucun,0.002303198,Aucun,59,1715381.01,35.83322097,0.002088937,0.71
Pont 45,C,-71.34985979,46.75598512,0.046902092,Aucun,0.003092729,Aucun,54,2806055.08,100.3706635,0.003576931,1
Pont 46,B,-71.31332225,46.76535508,0.030667276,Aucun,0.000939612,Aucun,75,141219.29,0.572953492,0.000405719,0.71
Pont 47,B,-71.31318998,46.76526606,0.030634846,Aucun,0.000936683,Aucun,76,141219.29,0.56968824,0.000403407,0.71
Pont 48,B,-71.30342649,46.77165955,0.030533864,Aucun,0.000927595,Aucun,78,236724.2,0.938071535,0.000396272,0.71
Pont 49,B,-71.30350706,46.77179393,0.030567394,Aucun,0.000930607,Aucun,77,238829.27,0.952045422,0.00039863,0.71
Pont 50,B,-71.30682704,46.77753731,0.032014836,Aucun,0.001066057,Aucun,72,145425.59,0.743376414,0.000511173,0.71
Pont 51,B,-71.33768459,46.74913858,0.030488519,Aucun,0.000923532,Aucun,79,1285779.21,5.054396022,0.0003931,0.71
Pont 52,C,-71.21279217,46.86203498,0.040230489,Aucun,0.002040528,Aucun,63,878141.54,14.7055108,0.001674617,1
Pont 53,B,-71.22681443,46.85339129,0.030079444,Aucun,0.00088734,Aucun,81,633307.09,2.31384367,0.000365359,0.71
Pont 54,B,-71.17064526,46.87527134,0.023360405,Aucun,0.000410307,Aucun,88,536624.62,0.476667565,8.88E-05,0.71
Pont 55,B,-71.16827283,46.87438559,0.023015587,Aucun,0.00039157,Aucun,89,595394.22,0.485367156,8.15E-05,0.71
Pont 56,B,-71.32005764,46.77005716,0.032396976,Aucun,0.001103601,Aucun,71,201139.66,1.095384464,0.000544589,0.71
Pont 57,B,-71.33100614,46.75488206,0.030841399,Aucun,0.000955431,Aucun,74,1033395.87,4.322783662,0.000418309,0.71
Pont 58,D,-71.2919835,46.8092365,0.064145911,Aucun,0.006868265,Aucun,42,1256609.38,192.4744533,0.015316968,1.29
Pont 59,B,-71.38530452,46.77016478,0.041398177,Aucun,0.002207783,Aucun,60,2768480.3,53.53322168,0.001933668,0.71
Pont 60,D,-71.31865435,46.80877894,0.072377569,Aucun,0.000186213,Aucun,87,992060.04,1.146748135,0.000115593,1.29
Pont 61,C,-71.35216584,46.90788104,0.095731413,Aucun,0.003561689,Aucun,51,953141.84,57.07849157,0.005988457,1
Pont 62,B,-71.35603174,46.80183913,0.045136953,Aucun,0.000191461,Aucun,90,811491.33,0.259972247,3.20E-05,0.71
Pont 63,B,-71.29641926,46.75642349,0.027175112,Aucun,1.85E-05,Aucun,101,288261.31,0.001271066,4.41E-07,0.71
Pont 64,E,-71.22953126,46.82062723,0.069614781,Aucun,0.007138854,Aucun,44,10457862.89,1284.382336,0.012281499,1.81
Pont 65,B,-71.34186722,46.83613055,0.050659535,Aucun,0.003141678,Aucun,57,1132601.88,29.62535797,0.00261569,0.71
Pont 66,D,-71.2509563,46.8128867,0.053525106,Aucun,0.003640065,Aucun,55,2786374.63,96.20281772,0.003452616,1.29
Pont 67,C,-71.34621419,46.81657631,0.066082367,Aucun,0.006271451,Aucun,47,302005.48,29.06167375,0.009622896,1
Pont 68,B,-71.33129116,46.7776681,0.035453163,Aucun,0.001146912,Aucun,80,66430.77,0.259450984,0.000390558,0.71
Pont 69,C,-71.32954263,46.78489596,0.051699977,Aucun,0.003318166,Aucun,56,277221.84,8.038377528,0.002899619,1
Pont 70,D,-71.29337064,46.81891603,0.067524257,Aucun,0.006618958,Aucun,45,189261.99,20.15940369,0.010651586,1.29
Pont 71,B,-71.29190586,46.86551836,0.04408641,Aucun,0.002145178,Aucun,65,1140754.22,14.52910698,0.00127364,0.71
Pont 72,C,-71.3480138,46.84934583,0.077958931,Aucun,0.009398103,Aucun,38,3808132.68,784.8053349,0.020608666,1
Pont 73,C,-71.3478948,46.84928374,0.077892891,Aucun,0.009379097,Aucun,39,3808132.68,781.8205883,0.020530288,1
Pont 74,C,-71.2683815,46.80807492,0.044220044,Aucun,0.002163395,Aucun,64,6978167.65,90.3061679,0.001294124,1
Pont 75,C,-71.36775085,46.88367188,0.09807506,Aucun,0.015958985,Aucun,29,2514596.62,1403.635715,0.055819518,1
Pont 76,E,-71.22361509,46.81924335,0.067203172,Aucun,0.006540786,Aucun,46,8990544.09,936.4481854,0.010415923,1.81
Pont 77,B,-71.3182057,46.8189391,0.041798587,Aucun,0.001846447,Aucun,66,375409.76,3.602920508,0.00095973,0.71
Pont 78,D,-71.20295158,46.85069748,0.047733383,Aucun,0.002672754,Aucun,62,3301163.98,63.6594358,0.001928394,1.29
Pont 79,D,-71.20319648,46.8503721,0.047752033,Aucun,0.002675614,Aucun,61,2625529.76,50.73279081,0.001932288,1.29
Pont 80,B,-71.29962371,46.76509176,0.028950967,Aucun,0.000621513,Aucun,86,371193.25,0.455471468,0.000122705,0.71
Pont 81,B,-71.35746888,46.77437117,0.038493355,Aucun,0.001458556,Aucun,70,372522.63,2.290750393,0.000614929,0.71
Pont 82,B,-71.42399993,46.75431292,0.041712106,Aucun,0.001835641,Aucun,67,518611.63,4.922441037,0.000949157,0.71
Pont 83,B,-71.42372386,46.75424318,0.041659539,Aucun,0.00182909,Aucun,68,518611.63,4.889339094,0.000942775,0.71
Pont 84,C,-71.39944035,46.75647883,0.055573551,Aucun,0.004019927,Aucun,53,828630.39,34.49579886,0.00416299,1
Pont 85,B,-71.35260249,46.79209459,0.042061901,Aucun,0.000101825,Aucun,97,1746506.64,0.059011811,3.38E-06,0.71
Pont 86,A,-71.31498026,46.93321535,0.049448667,Aucun,0.00021369,Aucun,94,483425.14,0.067168568,1.39E-05,0.62
Pont 87,D,-71.44898901,46.87353609,0.177838892,Aucun,0.023002732,Aucun,18,421657.41,425.7783947,0.10097733,1.266578469
Pont 88,D,-71.4525897,46.87388402,0.180474736,Aucun,0.023980619,Aucun,17,417142.36,455.7946812,0.109265978,1.262760367
Pont 89,D,-71.43135632,46.86664577,0.161506187,Aucun,0.017394728,Aucun,28,379872.5,225.9106266,0.059470119,1.289645883
Pont 90,C,-71.43691991,46.76868326,0.067601397,Aucun,0.000813429,Aucun,83,381103.64,0.675824164,0.000177333,1
Pont 91,D,-71.21839764,46.84470897,0.050913504,Aucun,0.00024339,Aucun,93,881831.14,0.157027849,1.78E-05,1.29
Pont 92,B,-71.52420589,46.72826057,0.040725352,Aucun,8.75E-05,Aucun,98,177945.67,0.004498499,2.53E-06,0.71
Pont 93,D,-71.46059909,46.87574231,0.187266609,Aucun,0.026590576,Aucun,12,369353.55,490.8612312,0.132897391,1.252791141
Pont 94,B,-71.51051883,46.72816634,0.040148566,Aucun,8.18E-05,Aucun,99,289508,0.006433157,2.22E-06,0.71
Pont 95,B,-71.47747297,46.7703143,0.05348592,Aucun,0.000302445,Aucun,92,265762.63,0.071599734,2.69E-05,0.71
Pont 96,B,-71.41064791,46.76749188,0.044121539,Aucun,0.000127207,Aucun,96,325801.65,0.016832293,5.17E-06,0.71
Pont 97,A,-71.50503715,46.8569362,0.097754738,Aucun,0.003348838,Aucun,58,388403.75,10.15336744,0.002614127,0.629678549
Pont 98,C,-71.20863426,46.86501159,0.039627639,Aucun,7.68E-05,Aucun,100,386465.82,0.007627661,1.97E-06,1
Pont 99,D,-71.25595068,46.80927325,0.054006142,Aucun,0.00031551,Aucun,91,2585252.83,0.754958127,2.92E-05,1.29
Pont 100,E,-71.23940309,46.82181438,0.073511078,Aucun,0.001139242,Aucun,82,4850475.72,16.32935147,0.000336655,1.81
Pont 101,E,-71.21627851,46.82140365,0.065266862,Aucun,0.000704374,Aucun,84,18614681.05,25.09813507,0.00013483,1.81
Pont 102,B,-71.39531894,46.76608343,0.041633255,Aucun,9.70E-05,Aucun,110,356177.11,0.010979786,3.08E-06,0.71
Pont 103,D,-71.32376643,46.80203992,0.071510087,Aucun,0.001020643,Aucun,86,914491.56,2.497631759,0.000273117,1.29
Pont 104,D,-71.1994239,46.85269828,0.047099877,Aucun,0.000171594,Aucun,106,818202.03,0.074817649,9.14E-06,1.29
Pont 105,D,-71.32361348,46.80231991,0.071567683,Aucun,0.001023936,Aucun,85,721795.12,1.983463653,0.000274796,1.29
Pont 106,D,-71.44634368,46.87305419,0.175736741,Aucun,0.022237102,Aucun,19,728123.08,689.562254,0.094704079,1.26960377
Pont 107,D,-71.19938068,46.85340926,0.047180694,Aucun,0.000172934,Aucun,105,586655.01,0.054446631,9.28E-06,1.29
Pont 108,B,-71.40857203,46.80987274,0.058254011,Aucun,0.000437388,Aucun,97,234848.78,0.127788232,5.44E-05,0.71
Pont 109,D,-71.32510615,46.7996912,0.071037918,Aucun,0.000993917,Aucun,87,900570.06,2.338507559,0.00025967,1.29
Pont 110,C,-71.29645447,46.88482888,0.067087933,Aucun,0.000788525,Aucun,89,185796.92,0.310545248,0.000167142,1
Pont 111,B,-71.29999607,46.89445721,0.049615848,Aucun,0.000216942,Aucun,103,439500.71,0.062849546,1.43E-05,0.71
Pont 112,A,-71.35574493,46.89109426,0.058289368,Aucun,0.000438522,Aucun,96,966569.61,0.52853836,5.47E-05,0.62
Pont 113,B,-71.24627229,46.8029853,0.027591071,Aucun,1.26E-05,Aucun,116,1760396.25,0.001094018,6.21E-08,0.71
Pont 114,D,-71.29558344,46.88093954,0.085311745,Aucun,0.002026949,Aucun,67,100284.05,1.009859644,0.001006999,1.29
Pont 115,B,-71.37089541,46.81768665,0.052535916,Aucun,0.000279578,Aucun,101,1399366,0.324543012,2.32E-05,0.71
Pont 116,B,-71.29455112,46.75667938,0.027009089,Aucun,1.12E-05,Aucun,117,248780.49,0.000124819,5.02E-08,0.71
Pont 117,C,-71.2096267,46.86567117,0.039906728,Aucun,7.94E-05,Aucun,113,322762.7,0.006789735,2.10E-06,1
